RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
753871,837,"Breckenridge, CO",Msa,CO,690186,703301,716625,734399,760435,791723,825037,843415,860670,881755,911148,937117
394364,838,"Bastrop, LA",Msa,LA,58074,58238,58687,59042,59275,59420,59422,59604,59886,60374,60846,61826
394356,839,"Bainbridge, GA",Msa,GA,109864,111568,113509,114688,115876,116963,118099,119168,120224,120851,121372,
395214,840,"Wauchula, FL",Msa,FL,,125735,128821,130577,132331,133836,135386,137191,139029,140735,141764,
753884,841,"Hailey, ID",Msa,ID,,590676,617234,630050,641854,651998,661814,674161,682839,690715,693861,
394643,842,"Great Bend, KS",Msa,KS,82487,83769,85218,86104,86544,87143,87955,88925,89589,90370,90676,91604
753926,843,"Weatherford, OK",Msa,OK,122121,123436,125070,126168,127319,127810,128233,128913,130074,131458,132218,
395211,844,"Watertown, SD",Msa,SD,214876,218555,222740,225160,227287,229574,231567,233504,234868,235791,236539,240205
395154,846,"Thomaston, GA",Msa,GA,91880,93612,95484,96746,98037,99097,100191,101153,102321,103345,104152,
394892,847,"Mountain Home, ID",Msa,ID,234679,238073,242925,247972,252504,256287,260145,265339,268822,271602,272422,
394322,848,"Altus, OK",Msa,OK,69389,70283,71419,72185,72978,73691,74728,75722,76747,77294,77663,
395181,849,"Uvalde, TX",Msa,TX,141432,143470,145907,147127,148486,149876,151204,152669,153869,155051,155835,
394791,850,"Lexington, NE",Msa,NE,148255,150518,153217,154749,156290,157678,158834,159958,160628,161174,161650,164450
394401,851,"Boone, IA",Msa,IA,150638,152551,154163,155134,156031,157450,158669,159923,161529,162886,164030,166198
395159,852,"Toccoa, GA",Msa,GA,130642,132512,134522,135726,137413,139273,140988,142908,144729,145065,145168,
395138,854,"Summerville, GA",Msa,GA,92501,93221,94254,94640,96169,96658,97254,97547,98566,99330,99763,
753909,855,"Ottawa, KS",Msa,KS,151663,154628,157951,160521,162653,164674,166560,168473,170129,171649,172291,174345
394912,856,"New Ulm, MN",Msa,MN,168749,170658,172959,174501,176302,178199,179941,181776,183366,184754,185295,187544
394830,857,"Marshall, MN",Msa,MN,160154,162123,164347,165891,167273,168923,170548,172405,174034,175430,176236,178647
394758,858,"La Grande, OR",Msa,OR,,216360,221379,224154,227516,230906,233740,235856,237552,239484,244386,252211
394649,859,"Greensburg, IN",Msa,IN,,168183,171686,173487,175054,176786,178283,179773,180996,182307,183467,186453
394854,860,"Mexico, MO",Msa,MO,106180,108233,110428,111574,113033,114271,115773,116872,117845,118342,118717,120041
394869,861,"Moberly, MO",Msa,MO,,105714,107988,109283,110669,112106,113451,114656,115701,116123,116400,117354
753923,862,"The Dalles, OR",Msa,OR,,277494,285292,289741,294634,299482,304067,307645,310785,313707,316787,323774
394529,863,"Deming, NM",Msa,NM,,118241,120001,121258,122509,123675,124370,125119,125789,126734,127562,
394584,864,"Fallon, NV",Msa,NV,,270471,277503,282185,286663,290421,294165,298022,301801,304723,306992,
394615,865,"Fredericksburg, TX",Msa,TX,378034,385380,394308,399083,403666,408217,413347,419908,425953,431232,434579,
394818,866,"Magnolia, AR",Msa,AR,92603,93075,94492,95486,96475,97414,98200,98842,99456,99835,100431,
394436,867,"Campbellsville, KY",Msa,KY,110590,112309,114087,115193,116441,117796,119100,120262,121270,122284,123046,
394494,868,"Connersville, IN",Msa,IN,88941,90697,92643,93909,95167,96468,97750,98977,100322,101549,102700,104555
394533,869,"Dickinson, ND",Msa,ND,269483,269640,270034,270618,271570,272522,273363,274512,275556,276647,277251,280336
395110,870,"Spearfish, SD",Msa,SD,,265965,271397,274723,277655,281133,284455,287680,289968,291502,292559,
394674,871,"Heber, UT",Msa,UT,,578171,599061,611401,622301,634067,646535,659225,669611,678254,684359,700144
753921,872,"Steamboat Springs, CO",Msa,CO,650600,661840,672520,681840,697823,722287,749515,780087,806931,832884,853176,873649
394498,873,"Cordele, GA",Msa,GA,105748,107088,108838,110083,111465,112506,113433,114385,115455,116442,117146,
394831,874,"Marshall, MO",Msa,MO,104353,107146,110986,114611,116443,117681,119795,121714,124389,125492,126182,126329
394837,874,"Maryville, MO",Msa,MO,153413,156316,159762,160400,161206,161641,163803,165665,167354,168169,168787,170955
394337,876,"Arkadelphia, AR",Msa,AR,93818,94387,96086,97113,98152,98474,98492,98398,99099,99605,100114,101854
394793,877,"Liberal, KS",Msa,KS,118745,117558,117523,118219,117975,117620,118166,119157,120458,122115,123067,123957
394784,878,"Levelland, TX",Msa,TX,,123774,126281,126739,127000,127233,128529,129994,131277,132169,132977,
395198,879,"Wahpeton, ND",Msa,ND,146012,147190,148231,149034,150076,151163,152432,153616,154819,155924,156715,159034
394868,880,"Mitchell, SD",Msa,SD,,176467,180064,182119,183846,186127,188390,190807,192409,193251,193632,
